Question,Answer
Who owns my project after it's been contributed to FINOS?,"After a project is contributed to FINOS, it is governed under the Community Specification License (CSL) 1.0, ensuring its availability to the public.  

The original intellectual property rights remain with the contributor or copyright holder, while the contributed content is available under CSL terms for modification and use.  

Project governance is managed by FINOS through working groups, maintainers, and the CDM Steering Working Group, which oversees change approval and integration."
Why does FINOS use the Apache License? Does our project have to?,"Why does FINOS use the Apache License?  
FINOS uses the Apache License 2.0 because it is a permissive open-source license that facilitates broad use, modification, and distribution of the code while ensuring that derivative works maintain proper attribution to the original authors. It also includes a patent grant, reducing legal risk for contributors and users.  

Does our project have to use the Apache License?  
No, your project does not have to use the Apache License. While FINOS recommends the Apache 2.0 license for consistency and compatibility within its ecosystem, projects may use alternative licenses if approved by the FINOS Governing Board. However, the license choice should align with FINOS' objective of promoting open-source collaboration and interoperability."
Can I advertise my participation in a FINOS project?,"Participation in a FINOS project can be publicly acknowledged.  

FINOS encourages contributors to promote their involvement as it helps foster open-source collaboration and recognizes individual and organizational efforts.  

Contributions can be listed on resumes, LinkedIn profiles, and other professional platforms, provided the role is accurately described without implying exclusive ownership of the project."
Are there any FINOS guidelines about company branding in the contributed source code?,"FINOS provides guidelines regarding company branding in contributed source code.  

Company branding, such as logos, trademarks, or proprietary identifiers, should generally be avoided in the source code to maintain neutrality and prevent potential conflicts.  

References to contributing organizations can be included in documentation or comments, provided they follow the FINOS contribution guidelines and do not interfere with the functionality or neutrality of the code."
"Are Mailing lists open to the public, or is it only visible by participants?","Mailing lists in FINOS are generally open to the public.  

Public access to mailing lists promotes transparency, allowing the broader community to stay informed and engage with discussions related to FINOS projects.  

While most mailing list archives are publicly accessible, some specific mailing lists may be restricted to participants based on the nature of the discussions or working group requirements."
"Who can commit to my project, after it's been contributed?","Participants who have signed the Contributor License Agreement (CLA) can commit to the project after contributing.  

Their names are added to the Participants.md file through a Pull Request.  

Maintainers of the CDM Steering Working Group approve merging proposed changes into the repository."
Does the Foundation provide developers for my project?,"The Foundation does not provide developers for contributed projects.

The development work is expected to be carried out by the project contributors and maintainers.

Contributors from the community, including participants from member and non-member organizations, are encouraged to provide development support.

FINOS supports the project by providing governance, infrastructure, and community engagement."
Are there any restrictions on how many projects I can host with the Foundation?,"There are no restrictions on how many projects can be hosted with the Foundation.

Multiple projects can be contributed as long as they comply with the FINOS governance and contribution guidelines.

Each project must follow the defined processes for proposal, approval, and maintenance.

The Foundation ensures that all hosted projects align with the open-source principles and the broader goals of FINOS."
What is a good granularity for a project?,"A good granularity for a project is defined by its ability to be achieved in small, incremental units.

Each contribution should be a complete, releasable unit that adds value without breaking existing functionality.

Projects should be designed so that their scope can be easily managed and reviewed in a single sprint.

Larger changes that cannot be completed in one sprint should be decomposed into smaller user stories or tasks."
What are the most commonly used languages across FINOS projects?,"The most commonly used languages across FINOS projects include Java, C#, Scala, Kotlin, TypeScript, and Python.

The choice of programming language depends on the nature of the project and its objectives.

Different projects may use different languages, and contributors are encouraged to work in the languages best suited to their contributions.

FINOS promotes interoperability and encourages the use of multiple languages where appropriate to meet project goals."
What is the proportion of member vs. non-member contributors to FINOS projects?,"The proportion of member versus non-member contributors to FINOS projects is not explicitly specified.

Both member and non-member contributors can participate by signing the Contributor License Agreement (CLA).

Contributions are evaluated based on merit and compliance with FINOS guidelines, regardless of the contributor’s membership status.

Community involvement is encouraged from a diverse group of contributors, ensuring a broad range of perspectives and expertise."
Does FINOS offer compliance tools?,"FINOS offers compliance tools through its digital regulatory reporting initiatives and open-source compliance frameworks.

These tools are designed to help the financial industry meet regulatory obligations more effectively.

Contributors can leverage these tools to ensure that their projects align with industry standards and compliance requirements.

FINOS continues to enhance its compliance offerings based on community feedback and evolving regulatory standards."
Can FINOS redistribute binaries to collect community feedback before contributing a project?,"FINOS does not explicitly redistribute binaries to collect community feedback before contributing a project.

Projects contributed to FINOS undergo a formal review and approval process before they are hosted.

Community feedback is typically collected through code reviews, pull requests, and project discussions.

FINOS ensures that all contributions meet its governance and quality standards before acceptance."
Where can I see the upcoming schedule of FINOS meetings so that I can participate?,"The upcoming schedule of FINOS meetings is available on the FINOS Community Calendar.

Participants can email help@finos.org to request meeting invitations.

The calendar provides details about upcoming project meetings, working groups, and community events.

Participants are encouraged to join relevant meetings to stay informed and engage with the FINOS community."
Is attendance to FINOS project and SIG meetings open to the public?,"Attendance to FINOS project and SIG meetings is generally open to the public.

Anyone interested in contributing or learning about the projects can join the meetings.

Some working group meetings may be restricted to project maintainers or contributors for specific discussions.

Public access ensures transparency and encourages broader participation from the community."
May non project maintainers attend and participate in project meetings?,"Non-project maintainers may attend and participate in project meetings.

They can contribute by providing feedback, suggesting improvements, and participating in discussions.

Formal contributions and decision-making, however, are typically reviewed and approved by project maintainers.

Maintainers ensure that contributions align with the project’s goals and quality standards."
"What level of detail is expected in minutes, especially regarding attribution of speakers?","Minutes are expected to provide a summary of decisions and key discussion points.

Detailed attribution of speakers is not mandatory unless specifically requested.

Minutes should focus on capturing action items, outcomes, and any unresolved issues.

Attribution may be included when it adds context or clarity to the discussion summary."
How does attribution work in minutes? Will my name be included in the public minutes? My employer’s?,"Attribution in minutes typically includes the names of participants and contributors.

The inclusion of the employer’s name is not mandatory and may be added only if explicitly noted.

Public minutes aim to reflect contributions fairly while respecting the privacy of participants.

Sensitive information or affiliations may be excluded to maintain confidentiality when necessary."
Are meetings recorded?,"Meetings may be recorded for documentation and future reference purposes.

Recording helps ensure that discussions and decisions are accurately captured.

Recordings are typically made available to project participants and contributors.

In some cases, recordings may be shared with the broader community to promote transparency."
"How does product qualification (payout) work, and what attributes influence it?","Product qualification (payout) works by applying Qualification functions that assess whether a financial product meets specific criteria defined in the Common Domain Model (CDM).

The qualification process evaluates the product's attributes, including asset type, payout structure, and economic terms, to determine whether it aligns with industry standards or regulatory requirements.

Payouts are modeled as parametric descriptions of financial obligations between parties, and Qualification functions analyze conditions such as asset classification, effective date, and termination provisions.

If a product meets the qualification criteria, a Global Key is generated using a hash algorithm, providing a unique identifier that ensures traceability and data integrity.

The qualification outcome is recorded in the event history, linking the qualified product to the original contract and maintaining a comprehensive audit trail for regulatory and reporting purposes."
"How is the lifecycle of a financial product, such as an interest rate swap, represented?","The lifecycle of a financial product, such as an interest rate swap, is represented in the Common Domain Model (CDM) through a sequence of lifecycle events that modify the TradeState over time.

When the interest rate swap is initiated, a ContractFormation event creates the initial TradeState, capturing key attributes such as notional amount, fixed and floating rate legs, and payment schedules.

As the swap progresses, periodic Interest Payment Events and Reset Events are triggered to update the floating leg payments and account for market rate fluctuations.

Modifications, such as amendments or term extensions, are recorded as ContractModification Events, which update the TradeState to reflect the new economic terms.

If the swap terminates early, a Termination Event modifies the TradeState to mark the contract as terminated, while novation or transfer events update the counterparty relationships if ownership changes.

Each of these events is captured in the event history, ensuring that the lifecycle of the interest rate swap is accurately tracked and auditable, while maintaining a complete audit trail for regulatory and reporting purposes."
"What is a WorkflowStep, and how is it related to a business event?","A WorkflowStep in the Common Domain Model (CDM) represents a discrete step in the lifecycle of a trade, contract, or transaction, capturing the details of the state transition triggered by a business event.

Each WorkflowStep contains information about the proposed changes to the TradeState, the validation results of those changes, and the resulting TradeState after the event is applied.

A business event, such as trade execution, modification, termination, or novation, triggers a WorkflowStep that updates the TradeState and records the details of the action taken.

The WorkflowStep includes key attributes such as the proposed event, the timestamp of the action, the parties involved, and any necessary approvals or validation results.

By linking WorkflowStep instances together, CDM maintains a complete and auditable record of the transaction lifecycle, ensuring that all state transitions and business events are traceable and compliant with regulatory requirements."
How does the model handle complex trade structures like baskets or portfolios?,"The model handles complex trade structures like baskets or portfolios by representing them as composite products that consist of multiple underlying components, each modeled as an individual TradeState.

A basket or portfolio is treated as a Collection of TradeStates, where each underlying asset, derivative, or financial instrument is represented as a separate component with its own attributes, lifecycle events, and payout terms.

The Collection is linked through a parent-child relationship, where the parent TradeState represents the basket or portfolio, and the child TradeStates capture the details of the individual instruments.

When a business event occurs at the basket or portfolio level, such as a rebalancing or partial termination, the WorkflowStep applies the corresponding state transitions to the affected TradeStates within the Collection.

By maintaining a hierarchical structure, the model ensures that modifications, valuations, and settlement events applied to the basket or portfolio are accurately reflected across all underlying components, preserving consistency and traceability throughout the transaction lifecycle."
"What is a Business event, and how is it used in the context of trade processing?","A business event in the Common Domain Model (CDM) represents a significant occurrence in the lifecycle of a trade or contract that triggers a change in the TradeState.

Business events include actions such as trade execution, modification, novation, termination, and settlement, which result in state transitions that update the attributes of the underlying TradeState.

When a business event occurs, it generates a WorkflowStep that captures the proposed event, validates the changes, and applies the appropriate state transitions to the TradeState.

Each business event is recorded in the event history, ensuring that all modifications and updates are traceable and auditable throughout the transaction lifecycle.

By maintaining a structured record of business events and their corresponding WorkflowSteps, the model ensures that trade processing remains consistent, transparent, and compliant with regulatory and operational standards."
"What is a Trade State, and how does it evolve through the lifecycle of a transaction?","A TradeState in the Common Domain Model (CDM) represents the current state of a trade or contract at a specific point in its lifecycle, capturing essential attributes such as economic terms, parties involved, and contract status.

The TradeState evolves through a series of lifecycle events, such as execution, modification, novation, termination, and settlement, each of which updates the TradeState to reflect the new conditions of the trade.

When a trade is initiated, a ContractFormation event creates the initial TradeState, which defines the terms and conditions of the trade.

As the trade progresses, events such as modifications, resets, and payments trigger WorkflowSteps that apply state transitions to update the TradeState, ensuring that changes to terms, counterparty information, and economic conditions are accurately recorded.

If the trade reaches maturity or is terminated early, a Termination Event modifies the TradeState to mark the trade as terminated, completing the transaction lifecycle.

Each update to the TradeState is captured as part of the event history, providing a transparent and auditable record of all changes throughout the lifecycle of the transaction."
