Laws,Link,category
(EU) 2019/834,https://eur-lex.europa.eu/eli/reg/2019/834/oj,EMIR
(EU) No 1095/2010,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32010R1095,EMIR
(EU) No 1247/2012,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R1247,EMIR
(EU) No 1248/2012,https://eur-lex.europa.eu/eli/reg_impl/2012/1248/oj,EMIR
(EU) No 1249/2012,https://eur-lex.europa.eu/eli/reg_impl/2012/1249/oj,EMIR
(EU) No 148/2013,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:052:0001:0010:en:PDF,EMIR
(EU) No 149/2013,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R0149,EMIR
(EU) No 150/2013,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R0150,EMIR
(EU) No 151/2013,https://eur-lex.europa.eu/eli/reg_del/2013/151/oj,EMIR
(EU) No 152/2013,https://eur-lex.europa.eu/eli/reg_del/2013/152/oj,EMIR
(EU) No 153/2013,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32013R0153,EMIR
(EU) No 2015/2205,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32015R2205,EMIR
(EU) No 2017/2155,https://eur-lex.europa.eu/eli/reg_del/2017/2155/oj,EMIR
(EU) No 285/2014,https://eur-lex.europa.eu/eli/reg_del/2014/285/oj,EMIR
(EU) No 648/2012,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32012R0648,EMIR
1 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-1-subject-matter-and-scope,EMIR
11 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-11-risk-mitigation-techniques-otc,EMIR
12 of the RTS on OTC derivatives,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R0149,EMIR
