dataset,relative_path,absolute_path,size_bytes,extension,mime_type,sha256,archive_contents,parse_info,issues
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/CONTRIBUTING.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/CONTRIBUTING.md,3350,.md,application/octet-stream,5f2d3e072efefe76b0a01cc2fb8eb7a32ae5cd1bf356c666d2c7927ad0540106,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/ifc-bench-v1.csv,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/ifc-bench-v1.csv,17143,.csv,application/vnd.ms-excel,f67a48770d74b6e0ff0868c923c3e1d976110350b2c439564d7ceccc16a46f35,null,"{""rows"": 105, ""columns"": 4, ""header"": [""question"", ""answer"", ""ifc_model"", ""project""]}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/ifc-bench-v2.csv,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/ifc-bench-v2.csv,469100,.csv,application/vnd.ms-excel,e47ccd097306f5bca49b9c8ac0b4cd72f296df9f7ff7a02625b3f06c1691da9b,null,"{""rows"": 1026, ""columns"": 6, ""header"": [""id"", ""question"", ""ground_truth"", ""ifc_model"", ""project"", ""category""]}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/LICENSE,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/LICENSE,1800,,application/octet-stream,458a6aea35d8fc3abdcd22e36a94ff2ae1053a9eabc6719192dac20880cb5c41,null,{},
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/README.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/README.md,17951,.md,application/octet-stream,cce411b1451c348b88e5988316b2e0431b25b9bd0794c1789d7419cab1a00329,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/4351/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/4351/license.txt,664,.txt,text/plain,47ae3548194e4defc3400ba1b54a71966f5bc913211cd3a348c68235d8d4b19b,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/4351/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/4351/model_card.md,453,.md,application/octet-stream,67eab980fad3cba4db40ff31c41b7759e5701c46a138b56d100b799ce8b08113,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/ac20/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/ac20/license.txt,355,.txt,text/plain,df953f8d88f873720f4b819fc580b1dc9c3f4f1ff5e16c946d7bd4c35bcf3cf6,null,"{""encoding"": ""ascii"", ""sample_lines"": 4}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/ac20/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/ac20/model_card.md,506,.md,application/octet-stream,19d0cd1f59f81cd15484df2c71ad307fb76cf3088eb6d1cb2e92511e2a7b00ef,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/city_house_munich/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/city_house_munich/license.txt,489,.txt,text/plain,6bdede1ac7ac323cd438618282ae21e7c42e4e7576171b588fecc260cc0ae393,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
